worker_count,txn,cycle,kcycle,instr,L1-miss,br-miss,task,scale,IPC,CPU,GHz
1,298014,183006.18,42099.6,122809.16,33994.3,952.23,33868.34,298014.0,0.67,1.01,5.4
2,445499,241051.13,51546.8,124030.11,33786.3,989.29,45166.6,445499.0,0.51,2.01,5.34
3,478549,338111.47,63411.06,125256.87,33723.31,1023.56,63038.64,478549.0,0.37,3.02,5.36
4,505001,423941.61,75848.83,126281.99,33736.79,1054.19,79588.85,505001.0,0.3,4.02,5.33
5,565113,472778.98,87754.78,127150.36,33796.69,1080.67,88946.41,565113.0,0.27,5.03,5.32
6,619130,515992.34,101141.09,127936.57,33837.38,1105.44,97402.7,619130.0,0.25,6.03,5.3
7,637039,582493.82,114142.97,128863.88,33846.46,1132.03,110426.82,637039.0,0.22,7.03,5.27
8,666239,635645.25,126166.0,129601.58,33891.02,1156.69,120759.09,666239.0,0.2,8.04,5.26
9,659365,725286.11,144467.37,130641.64,33949.03,1181.0,137570.73,659365.0,0.18,9.07,5.27
10,666520,792962.75,155853.0,131485.85,33953.5,1205.01,150923.34,666520.0,0.17,10.06,5.25
11,664997,878784.17,180616.43,132403.33,34009.66,1226.28,167530.31,664997.0,0.15,11.14,5.25
12,667299,952079.89,191970.26,133273.34,34038.69,1248.48,181511.55,667299.0,0.14,12.11,5.25
13,665484,1035900.07,221410.29,134065.32,34103.16,1267.69,197708.61,665484.0,0.13,13.15,5.24
14,665825,1111823.95,239700.46,134907.61,34134.98,1286.17,212486.37,665825.0,0.12,14.15,5.23
15,662780,1197249.4,268052.1,135695.3,34221.97,1308.18,228890.26,662780.0,0.11,15.17,5.23
16,663513,1266095.78,286573.39,136377.15,34230.42,1320.59,242175.74,663513.0,0.11,16.07,5.23
17,659903,1360273.83,313165.61,137293.31,34313.41,1337.88,260168.21,659903.0,0.1,17.17,5.23
18,660431,1429873.89,335973.25,137937.09,34358.32,1354.58,273621.07,660431.0,0.1,18.07,5.23
19,660136,1506520.34,354185.31,138608.48,34378.72,1368.79,289115.33,660136.0,0.09,19.08,5.21
20,653765,1618833.07,400495.76,139353.74,34497.81,1379.86,309259.62,653765.0,0.09,20.22,5.23
21,649664,1702867.9,418547.39,139958.13,34531.33,1390.44,326146.68,649664.0,0.08,21.18,5.22
22,652967,1772380.92,444485.43,140506.16,34564.57,1401.99,339830.78,652967.0,0.08,22.19,5.22
23,646069,1872423.31,472315.58,141419.58,34637.79,1421.11,359311.56,646069.0,0.08,23.21,5.21
24,648159,1938574.51,485588.18,142077.0,34697.53,1433.56,371603.54,648159.0,0.07,24.08,5.22
25,645863,2035350.79,517703.15,142890.29,34762.3,1444.76,391447.57,645863.0,0.07,25.27,5.2
26,647775,2106827.83,538006.68,143505.87,34817.24,1456.62,405220.54,647775.0,0.07,26.24,5.2
27,644377,2201672.89,561661.69,144210.07,34834.66,1471.85,422246.85,644377.0,0.07,27.2,5.21
28,642034,2281417.69,576780.28,144969.8,34889.15,1485.83,438611.54,642034.0,0.06,28.15,5.2
29,642439,2359734.55,607491.06,145795.9,34949.87,1500.57,454137.65,642439.0,0.06,29.17,5.2
30,635323,2465502.83,636393.24,146635.16,34978.61,1513.56,473935.15,635323.0,0.06,30.09,5.2
31,608609,2588399.69,659442.06,147375.72,34991.33,1525.52,496474.53,608609.0,0.06,30.21,5.21
32,597742,2632547.78,672110.44,147656.9,35023.68,1529.65,506214.64,597742.0,0.06,30.25,5.2
