ts,tx,bm_rmb,bm_wmb,bm_evict,blob_io_mb,logio_mb,db_size,alloc_size,mem_mb
0,62924,0.0000,0.0000,0,713.00,27.3555,0.9769,0.9769,33190.2852
1,63599,0.0000,0.0000,0,0.00,34.7461,0.9769,0.9769,33202.5352
2,63531,0.0000,0.0000,0,0.00,35.0000,0.9769,0.9769,33214.5352
3,63840,0.0000,0.0000,0,0.00,34.7227,0.9769,0.9769,33226.5352
4,63608,0.0000,0.0000,0,0.00,34.4766,0.9769,0.9769,33238.0352
5,63640,0.0000,0.0000,0,0.00,34.3906,0.9769,0.9769,33250.2852
6,63730,0.0000,0.0000,0,0.00,34.1523,0.9769,0.9769,33262.0352
7,63391,0.0000,0.0000,0,0.00,34.8555,0.9769,0.9769,33274.5352
8,63756,0.0000,0.0000,0,0.00,35.7148,0.9769,0.9769,33287.2852
9,63790,0.0000,0.0000,0,0.00,33.8984,0.9769,0.9769,33298.7852
10,63567,0.0000,0.0000,0,0.00,34.5898,0.9769,0.9769,33311.0352
11,63617,0.0000,0.0000,0,0.00,34.0820,0.9769,0.9769,33322.5352
