NumThreads,Version,Duration
4,V0,0.0746123
4,V2,0.276628
4,V3,1.13681
8,V0,0.0774681
8,V2,0.341121
8,V3,2.04783
12,V0,0.0644765
12,V2,0.319315
12,V3,2.5029
16,V0,0.0621613
16,V2,0.295677
16,V3,2.90831
20,V0,0.0617625
20,V2,0.280637
20,V3,3.28422
24,V0,0.0607072
24,V2,0.261701
24,V3,3.66585
28,V0,0.0604932
28,V2,0.246694
28,V3,4.04721
32,V0,0.0605629
32,V2,0.239025
32,V3,4.4838
