worker_count,txn,cycle,kcycle,instr,L1-miss,br-miss,task,scale,IPC,CPU,GHz
1,64733,861908.59,48313.14,453059.96,75560.14,1066.09,155689.0,64733.0,0.53,1.01,5.54
2,64695,1727074.44,62690.63,296333.8,57743.48,1148.43,310545.74,64695.0,0.17,2.01,5.56
4,73080,3013205.91,73597.28,234725.52,53831.68,1272.7,549065.06,73080.0,0.08,4.01,5.49
5,73361,3751876.13,79285.06,219424.63,52142.98,1338.97,683497.38,73361.0,0.06,5.01,5.49
6,82403,3998823.07,85636.76,216140.57,50256.6,1371.9,730052.42,82403.0,0.05,6.01,5.48
7,88346,4322516.23,89243.38,213131.04,49410.21,1407.42,794275.62,88346.0,0.05,7.02,5.44
8,89417,4864403.58,96511.39,208162.31,47926.62,1458.0,896661.64,89417.0,0.04,8.02,5.43
9,97521,5014017.01,106496.43,208086.85,47522.6,1495.92,925465.99,97521.0,0.04,9.02,5.42
10,104914,5162284.77,107814.45,207500.46,46690.41,1517.66,955245.23,104914.0,0.04,10.02,5.4
11,108585,5487027.98,113206.59,206742.74,46333.99,1555.51,1014996.66,108585.0,0.04,11.02,5.41
12,114079,5672730.11,119413.94,206540.97,45966.12,1589.18,1053950.71,114079.0,0.04,12.02,5.38
13,118897,5596267.44,109283.14,205642.91,44871.99,1613.93,1095406.31,118897.0,0.04,13.02,5.11
14,123434,6093455.82,132850.76,205719.58,44842.42,1652.41,1136212.07,123434.0,0.03,14.02,5.36
15,127642,6301238.65,140847.18,205674.37,44628.1,1684.66,1177525.92,127642.0,0.03,15.03,5.35
16,131948,6500318.05,149756.95,206216.01,44460.68,1717.81,1215118.53,131948.0,0.03,16.03,5.35
17,136173,6672657.64,156961.31,206495.94,44539.33,1742.8,1250752.42,136173.0,0.03,17.03,5.33
18,141817,6782298.3,162442.11,206675.55,44223.75,1766.78,1271455.37,141817.0,0.03,18.03,5.33
19,145556,6971788.52,170325.1,206802.87,44213.22,1794.44,1307308.07,145556.0,0.03,19.03,5.33
20,149515,7134447.7,181720.64,207495.66,44461.26,1825.05,1339749.25,149515.0,0.03,20.03,5.33
21,154548,7252994.19,189411.79,207781.45,44267.36,1848.03,1360703.71,154548.0,0.03,21.03,5.33
22,157810,7429237.92,200684.53,208221.35,44397.0,1875.49,1396159.82,157810.0,0.03,22.03,5.32
23,163062,7514372.51,207865.62,208993.94,44274.1,1901.47,1412401.04,163062.0,0.03,23.03,5.32
24,167744,7619291.05,215060.1,209253.5,44124.7,1922.11,1432696.87,167744.0,0.03,24.03,5.32
25,171924,7738328.2,222650.89,209612.31,44185.21,1949.05,1455786.76,171924.0,0.03,25.02,5.32
26,175968,7858755.86,234520.14,210359.27,44507.87,1974.43,1478891.15,175968.0,0.03,26.02,5.31
27,181299,7923800.71,243882.18,210921.31,44258.2,1997.81,1491337.25,181299.0,0.03,24.58,5.31
28,183923,8104819.86,251482.68,211074.28,44138.62,2018.67,1524437.82,183923.0,0.03,28.03,5.32
29,189028,8152664.31,258773.1,211937.05,44492.67,2044.84,1535205.6,189028.0,0.03,29.01,5.31
