worker_count,txn,cycle,kcycle,instr,L1-miss,br-miss,task,scale,IPC,CPU,GHz
1,276758,193601.89,46351.31,125918.99,34138.02,989.24,36479.35,276758.0,0.65,1.01,5.31
2,457549,231092.37,58873.21,126976.96,34021.82,1020.5,44000.18,457549.0,0.55,2.01,5.25
3,526867,300978.15,69053.69,128302.27,33937.47,1055.84,57265.62,526867.0,0.43,3.02,5.26
4,578231,364168.16,79098.23,129750.63,33937.68,1088.63,69522.58,578231.0,0.36,4.02,5.24
5,582146,454097.18,97635.14,131336.53,33964.71,1124.93,86511.15,582146.0,0.29,5.04,5.25
6,589554,536641.18,111172.87,132769.01,33985.5,1156.22,102139.04,589554.0,0.25,6.02,5.25
7,621669,590671.82,123651.38,134613.01,34029.15,1188.46,112795.5,621669.0,0.23,7.01,5.24
8,621775,675211.65,141384.81,136157.5,34079.59,1218.67,128774.59,621775.0,0.2,8.01,5.24
9,621401,759600.14,160381.19,138452.09,34132.65,1252.74,145136.44,621401.0,0.18,9.02,5.23
10,629753,830321.05,175460.95,140649.98,34161.51,1283.54,158905.09,629753.0,0.17,10.01,5.23
11,629015,914818.28,192896.61,143470.8,34229.76,1318.05,174809.04,629015.0,0.16,10.99,5.23
12,630548,986628.49,209043.64,146335.15,34281.3,1351.71,188940.1,630548.0,0.15,11.91,5.22
13,628493,1067177.12,229565.54,148739.59,34355.81,1381.33,204351.92,628493.0,0.14,12.84,5.22
14,625077,1157166.95,259771.24,152066.89,34497.06,1418.42,221813.26,625077.0,0.13,13.86,5.22
15,620989,1239969.62,279563.4,156201.46,34537.04,1447.11,238268.59,620989.0,0.13,14.79,5.2
16,622439,1310287.11,293340.78,158030.45,34549.09,1466.67,251910.13,622439.0,0.12,15.68,5.2
17,623857,1377752.45,317618.97,162859.43,34654.57,1497.18,265099.29,623857.0,0.12,16.54,5.2
18,620125,1469045.88,343068.49,166309.72,34696.72,1520.95,282874.83,620125.0,0.11,17.54,5.19
19,615893,1557814.55,369769.2,169651.09,34799.02,1545.97,299653.33,615893.0,0.11,18.45,5.2
20,616265,1630368.31,395610.16,174174.74,34891.83,1562.16,314055.42,616265.0,0.11,19.35,5.19
21,613019,1718411.56,406004.16,175360.64,34892.57,1576.08,330486.73,613019.0,0.1,20.26,5.2
22,610787,1796409.72,430350.51,182299.68,34971.04,1600.68,346642.35,610787.0,0.1,21.17,5.18
23,609365,1875238.03,453791.61,188069.08,35067.93,1629.65,361608.02,609365.0,0.1,22.03,5.19
24,603130,1966899.55,476238.3,193778.4,35173.94,1651.4,379661.73,603130.0,0.1,22.89,5.18
25,603031,2039370.43,490329.81,198771.76,35215.18,1673.72,394136.45,603031.0,0.1,23.76,5.17
26,600465,2129369.53,509702.61,200196.4,35277.32,1695.64,410878.54,600465.0,0.09,24.67,5.18
27,589824,2235121.1,531799.0,207552.44,35331.64,1712.19,431786.47,589824.0,0.09,25.46,5.18
28,585185,2336150.7,557808.3,212251.99,35376.93,1723.47,451472.36,585185.0,0.09,26.41,5.17
29,579365,2435693.89,572736.26,218524.21,35442.34,1744.72,470874.84,579365.0,0.09,27.27,5.17
30,569109,2540885.15,588765.27,230861.66,35513.1,1771.96,491310.21,569109.0,0.09,27.95,5.17
31,470588,2967588.46,611381.15,316195.4,35623.22,1822.22,574224.77,470588.0,0.11,26.99,5.17
32,360515,3708617.66,613668.66,499625.15,35737.3,1892.15,717709.83,360515.0,0.13,25.87,5.17
