ts,tx,bm_rmb,bm_wmb,bm_evict,blob_io_mb,logio_mb,db_size,alloc_size,mem_mb
0,37364,0.0000,0.0000,0,738.00,32.1016,0.9769,0.9769,33184.0625
1,16817,0.0000,0.0000,0,0.00,37.2656,0.9769,0.9769,33185.0625
2,12734,0.0000,0.0000,0,0.00,35.7969,0.9769,0.9769,33187.5625
3,10682,0.0000,0.0000,0,0.00,36.8711,0.9769,0.9769,33188.0625
4,9402,0.0000,0.0000,0,0.00,35.7266,0.9769,0.9769,33188.5625
5,8499,0.0000,0.0000,0,0.00,33.1055,0.9769,0.9769,33189.8125
6,7801,0.0000,0.0000,0,0.00,30.7070,0.9769,0.9769,33191.0625
7,7266,0.0000,0.0000,0,0.00,28.4961,0.9769,0.9769,33191.0625
8,6816,0.0000,0.0000,0,0.00,26.8242,0.9769,0.9769,33191.5625
9,6451,0.0000,0.0000,0,0.00,25.3438,0.9769,0.9769,33193.0625
10,6138,0.0000,0.0000,0,0.00,24.1367,0.9769,0.9769,33194.0625
11,5853,0.0000,0.0000,0,0.00,22.9766,0.9769,0.9769,33195.3125
